week_index,week_start,region,product_category,channel,currency,existing_users,base_impressions,base_spend,cpi,ctr,cvr,avg_order_value,engagement_value_per_click,freq_cap_per_user,adstock_decay,sat_curve_basis,sat_alpha,sat_k_half_impr,sat_beta,sat_alpha_spend,sat_k_half_spend,sat_beta_spend,min_spend_this_week,max_spend_this_week,priority_weight
1,2025-06-02,Ontario,Electronics,Paid Search,CAD,187300,8970067,113425.66,0.012645,0.038248,0.049741,261.64,0.4355,4,0.3,impressions,1.0,11000000,1.1,1.0,132000,1.05,56712.83,170138.48,1.052
2,2025-06-09,Ontario,Electronics,Paid Search,CAD,192498,8591195,109607.93,0.012758,0.037563,0.056133,245.31,0.4256,4,0.3,impressions,1.0,11000000,1.1,1.0,132000,1.05,54803.97,164411.9,0.937
3,2025-06-16,Ontario,Electronics,Paid Search,CAD,204342,8973050,114041.91,0.012709,0.036262,0.053835,238.42,0.4651,4,0.3,impressions,1.0,11000000,1.1,1.0,132000,1.05,57020.95,171062.86,1.043
4,2025-06-23,Ontario,Electronics,Paid Search,CAD,181099,11637029,144533.35,0.01242,0.037074,0.059451,244.75,0.4833,4,0.3,impressions,1.0,11000000,1.1,1.0,132000,1.05,72266.68,216800.03,1.042
5,2025-06-30,Ontario,Electronics,Paid Search,CAD,173139,8031656,105099.39,0.013086,0.037574,0.060232,245.63,0.443,4,0.3,impressions,1.0,11000000,1.1,1.0,132000,1.05,52549.69,157649.08,1.076
6,2025-07-07,Ontario,Electronics,Paid Search,CAD,182175,8371906,103797.55,0.012398,0.034026,0.056326,257.05,0.4215,4,0.3,impressions,1.0,11000000,1.1,1.0,132000,1.05,51898.77,155696.32,0.973
7,2025-07-14,Ontario,Electronics,Paid Search,CAD,172065,9210027,110071.32,0.011951,0.03838,0.058684,259.48,0.4363,4,0.3,impressions,1.0,11000000,1.1,1.0,132000,1.05,55035.66,165106.98,1.054
8,2025-07-21,Ontario,Electronics,Paid Search,CAD,191679,10141046,116174.1,0.011456,0.034695,0.050682,247.56,0.4724,4,0.3,impressions,1.0,11000000,1.1,1.0,132000,1.05,58087.05,174261.15,1.043
9,2025-07-28,Ontario,Electronics,Paid Search,CAD,189510,8905030,99982.16,0.011228,0.036077,0.057867,252.18,0.4897,4,0.3,impressions,1.0,11000000,1.1,1.0,132000,1.05,49991.08,149973.23,1.047
10,2025-08-04,Ontario,Electronics,Paid Search,CAD,182516,8221720,106873.82,0.012999,0.033832,0.057205,237.77,0.4833,4,0.3,impressions,1.0,11000000,1.1,1.0,132000,1.05,53436.91,160310.73,1.07
11,2025-08-11,Ontario,Electronics,Paid Search,CAD,177782,8521169,111260.91,0.013057,0.037267,0.059311,248.68,0.4641,4,0.3,impressions,1.0,11000000,1.1,1.0,132000,1.05,55630.45,166891.36,0.986
12,2025-08-18,Ontario,Electronics,Paid Search,CAD,181645,11376816,145096.99,0.012754,0.036702,0.055016,256.13,0.4068,4,0.3,impressions,1.0,11000000,1.1,1.0,132000,1.05,72548.49,217645.48,0.991
13,2025-08-25,Ontario,Electronics,Paid Search,CAD,163725,9155506,118339.42,0.012925,0.037229,0.055524,255.32,0.4548,4,0.3,impressions,1.0,11000000,1.1,1.0,132000,1.05,59169.71,177509.13,0.905
1,2025-06-02,Ontario,Electronics,Display,CAD,174546,11993324,45435.03,0.003788,0.003667,0.01185,262.11,0.4538,5,0.5,impressions,1.0,27500000,1.05,1.0,99000,1.05,18174.01,72696.05,0.964
2,2025-06-09,Ontario,Electronics,Display,CAD,166066,12240503,48704.53,0.003979,0.003868,0.012477,250.44,0.4583,5,0.5,impressions,1.0,27500000,1.05,1.0,99000,1.05,19481.81,77927.25,1.055
3,2025-06-16,Ontario,Electronics,Display,CAD,184365,12729509,49161.89,0.003862,0.004051,0.012406,247.73,0.4258,5,0.5,impressions,1.0,27500000,1.05,1.0,99000,1.05,19664.76,78659.03,1.099
4,2025-06-23,Ontario,Electronics,Display,CAD,194661,15725889,62997.31,0.004006,0.003992,0.011327,238.49,0.4864,5,0.5,impressions,1.0,27500000,1.05,1.0,99000,1.05,25198.92,100795.7,1.022
5,2025-06-30,Ontario,Electronics,Display,CAD,199251,12721565,48626.88,0.003822,0.004064,0.013192,256.99,0.4573,5,0.5,impressions,1.0,27500000,1.05,1.0,99000,1.05,19450.75,77803.01,1.1
6,2025-07-07,Ontario,Electronics,Display,CAD,184726,10455584,41853.18,0.004003,0.004071,0.011291,255.28,0.4747,5,0.5,impressions,1.0,27500000,1.05,1.0,99000,1.05,16741.27,66965.08,0.947
7,2025-07-14,Ontario,Electronics,Display,CAD,172820,12639507,52241.17,0.004133,0.0043,0.011167,244.15,0.4371,5,0.5,impressions,1.0,27500000,1.05,1.0,99000,1.05,20896.47,83585.87,0.919
8,2025-07-21,Ontario,Electronics,Display,CAD,200580,13486064,55473.16,0.004113,0.003655,0.012011,245.68,0.4671,5,0.5,impressions,1.0,27500000,1.05,1.0,99000,1.05,22189.26,88757.06,1.063
9,2025-07-28,Ontario,Electronics,Display,CAD,176130,10765901,41825.07,0.003885,0.004388,0.013048,247.48,0.4721,5,0.5,impressions,1.0,27500000,1.05,1.0,99000,1.05,16730.03,66920.11,0.924
10,2025-08-04,Ontario,Electronics,Display,CAD,205803,10500875,39577.05,0.003769,0.003964,0.012125,238.17,0.4697,5,0.5,impressions,1.0,27500000,1.05,1.0,99000,1.05,15830.82,63323.27,0.944
11,2025-08-11,Ontario,Electronics,Display,CAD,194955,12440000,45377.87,0.003648,0.004131,0.011843,249.3,0.4515,5,0.5,impressions,1.0,27500000,1.05,1.0,99000,1.05,18151.15,72604.6,0.916
12,2025-08-18,Ontario,Electronics,Display,CAD,195384,14827207,54758.75,0.003693,0.003767,0.011549,248.92,0.4936,5,0.5,impressions,1.0,27500000,1.05,1.0,99000,1.05,21903.5,87613.99,1.037
13,2025-08-25,Ontario,Electronics,Display,CAD,205654,11260090,47326.85,0.004203,0.00428,0.011318,259.53,0.4204,5,0.5,impressions,1.0,27500000,1.05,1.0,99000,1.05,18930.74,75722.95,1.056
1,2025-06-02,Ontario,Electronics,Social,CAD,192364,9252784,27227.2,0.002943,0.007652,0.016205,249.75,0.437,2,0.6,impressions,1.0,19800000,1.1,1.0,88000,1.08,10890.88,43563.52,1.056
2,2025-06-09,Ontario,Electronics,Social,CAD,182452,10457194,33397.28,0.003194,0.008598,0.014897,243.87,0.4435,2,0.6,impressions,1.0,19800000,1.1,1.0,88000,1.08,13358.91,53435.65,0.939
3,2025-06-16,Ontario,Electronics,Social,CAD,195652,10409895,32870.32,0.003158,0.007456,0.015914,262.43,0.4759,2,0.6,impressions,1.0,19800000,1.1,1.0,88000,1.08,13148.13,52592.51,1.079
4,2025-06-23,Ontario,Electronics,Social,CAD,195105,12850358,37752.34,0.002938,0.007322,0.017376,260.54,0.4118,2,0.6,impressions,1.0,19800000,1.1,1.0,88000,1.08,15100.94,60403.75,1.099
5,2025-06-30,Ontario,Electronics,Social,CAD,171990,9193100,27895.07,0.003034,0.00843,0.015624,246.66,0.4226,2,0.6,impressions,1.0,19800000,1.1,1.0,88000,1.08,11158.03,44632.12,1.01
