week,channel,base_impressions,cpi,freq_cap_per_user,ctr,cvr,avg_order_value,existing_users
1,paid_search,6800000,0.012,4,0.035,0.055,95.0,250000
1,display,10200000,0.004,5,0.004,0.012,95.0,250000
1,affiliate,4250000,0.006,4,0.018,0.03,95.0,250000
1,social,7650000,0.003,2,0.008,0.016,95.0,250000
1,email,2125000,0.0015,6,0.05,0.04,95.0,250000
2,paid_search,6800000,0.012,4,0.035,0.055,95.0,250000
2,display,10200000,0.004,5,0.004,0.012,95.0,250000
2,affiliate,4250000,0.006,4,0.018,0.03,95.0,250000
2,social,7650000,0.003,2,0.008,0.016,95.0,250000
2,email,2125000,0.0015,6,0.05,0.04,95.0,250000
3,paid_search,9200000,0.012,4,0.035,0.055,95.0,250000
3,display,13799999,0.004,5,0.004,0.012,95.0,250000
3,affiliate,5750000,0.006,4,0.018,0.03,95.0,250000
3,social,10350000,0.003,2,0.008,0.016,95.0,250000
3,email,2875000,0.0015,6,0.05,0.04,95.0,250000
4,paid_search,6800000,0.012,4,0.035,0.055,95.0,250000
4,display,10200000,0.004,5,0.004,0.012,95.0,250000
4,affiliate,4250000,0.006,4,0.018,0.03,95.0,250000
4,social,7650000,0.003,2,0.008,0.016,95.0,250000
4,email,2125000,0.0015,6,0.05,0.04,95.0,250000
5,paid_search,6800000,0.012,4,0.035,0.055,95.0,250000
5,display,10200000,0.004,5,0.004,0.012,95.0,250000
5,affiliate,4250000,0.006,4,0.018,0.03,95.0,250000
5,social,7650000,0.003,2,0.008,0.016,95.0,250000
5,email,2125000,0.0015,6,0.05,0.04,95.0,250000
6,paid_search,9200000,0.012,4,0.035,0.055,95.0,250000
6,display,13799999,0.004,5,0.004,0.012,95.0,250000
6,affiliate,5750000,0.006,4,0.018,0.03,95.0,250000
6,social,10350000,0.003,2,0.008,0.016,95.0,250000
6,email,2875000,0.0015,6,0.05,0.04,95.0,250000
7,paid_search,6800000,0.012,4,0.035,0.055,95.0,250000
7,display,10200000,0.004,5,0.004,0.012,95.0,250000
7,affiliate,4250000,0.006,4,0.018,0.03,95.0,250000
7,social,7650000,0.003,2,0.008,0.016,95.0,250000
7,email,2125000,0.0015,6,0.05,0.04,95.0,250000
8,paid_search,6800000,0.012,4,0.035,0.055,95.0,250000
8,display,10200000,0.004,5,0.004,0.012,95.0,250000
8,affiliate,4250000,0.006,4,0.018,0.03,95.0,250000
8,social,7650000,0.003,2,0.008,0.016,95.0,250000
8,email,2125000,0.0015,6,0.05,0.04,95.0,250000
9,paid_search,9200000,0.012,4,0.035,0.055,95.0,250000
9,display,13799999,0.004,5,0.004,0.012,95.0,250000
9,affiliate,5750000,0.006,4,0.018,0.03,95.0,250000
9,social,10350000,0.003,2,0.008,0.016,95.0,250000
9,email,2875000,0.0015,6,0.05,0.04,95.0,250000
10,paid_search,6800000,0.012,4,0.035,0.055,95.0,250000
10,display,10200000,0.004,5,0.004,0.012,95.0,250000
10,affiliate,4250000,0.006,4,0.018,0.03,95.0,250000
10,social,7650000,0.003,2,0.008,0.016,95.0,250000
10,email,2125000,0.0015,6,0.05,0.04,95.0,250000
11,paid_search,6800000,0.012,4,0.035,0.055,95.0,250000
11,display,10200000,0.004,5,0.004,0.012,95.0,250000
11,affiliate,4250000,0.006,4,0.018,0.03,95.0,250000
11,social,7650000,0.003,2,0.008,0.016,95.0,250000
11,email,2125000,0.0015,6,0.05,0.04,95.0,250000
12,paid_search,9200000,0.012,4,0.035,0.055,95.0,250000
12,display,13799999,0.004,5,0.004,0.012,95.0,250000
12,affiliate,5750000,0.006,4,0.018,0.03,95.0,250000
12,social,10350000,0.003,2,0.008,0.016,95.0,250000
12,email,2875000,0.0015,6,0.05,0.04,95.0,250000
13,paid_search,6800000,0.012,4,0.035,0.055,95.0,250000
13,display,10200000,0.004,5,0.004,0.012,95.0,250000
13,affiliate,4250000,0.006,4,0.018,0.03,95.0,250000
13,social,7650000,0.003,2,0.008,0.016,95.0,250000
13,email,2125000,0.0015,6,0.05,0.04,95.0,250000
